news_id;news_date;impacted_country;news_category;news_title;news_summary
1;2024.07.01;United States;Economic Development;US imposes 20% tariff on Vietnamese Polyester over subsidy concerns.;The Office of the US Trade Representative announced steep new import duties targeting polyester textiles from Vietnam, citing evidence of unfair government subsidies, leading to immediate pricing adjustments for American retailers.
2;2024.07.04;China;Economic Development;China temporarily bans raw Silk exports to stabilize domestic prices for weavers.;Due to high demand and inflationary pressure domestically, Beijing enacted a temporary restriction on the volume of raw silk allowed for international sale, prioritizing local manufacturers.
3;2024.07.07;Bangladesh;Civil Unrest;Massive labor strike over minimum wages paralyzes Dhaka Cotton garment district.;Thousands of garment workers across Dhaka initiated a widespread, multi-day strike demanding immediate wage increases, forcing major cotton apparel production lines to shut down indefinitely.
4;2024.07.10;India;Natural Disaster;Monsoon floods inundate Chennai port, delaying Zipper component shipments.;Unprecedented monsoon flooding severely affected logistics and storage facilities at the Port of Chennai, causing significant delays in the offloading and distribution of essential imported zipper components.
5;2024.07.13;Vietnam;Incidental;Minor fire at a large Denim washing facility causes temporary halt in production.;A small electrical fire erupted at a key denim washing and finishing plant in Vietnam, necessitating a 24-hour shutdown for safety inspections, delaying specialized garment orders.
6;2024.07.16;Germany;Economic Development;Germany implements anti-dumping duties on Indian Linen imports after EU review.;Following a comprehensive review by European trade bodies, Germany began enforcing new anti-dumping tariffs on certain linen textiles originating from India, affecting German home goods retailers.
7;2024.07.19;Pakistan;Civil Unrest;Political protests block main highways, impacting export of Button and Buckle goods.;Widespread civil demonstrations resulted in the sustained closure of key transport corridors leading to Karachi, effectively halting the movement of finished button and buckle hardware awaiting export.
8;2024.07.22;Indonesia;Natural Disaster;Wildfires damage critical infrastructure near Nylon manufacturing hub.;Extreme dry conditions led to wildfires that caused temporary power outages and road closures near an industrial zone, disrupting the manufacturing and delivery of synthetic nylon materials.
9;2024.07.25;France;Economic Development;France increases environmental tariffs on Chinese Denim imports lacking transparency.;The French government introduced new environmental levies specifically targeting denim imports from China where the supply chain transparency for raw material sourcing was deemed insufficient.
10;2024.07.28;Sri Lanka;Incidental;Train derailment delays transport of finished Polyester garments to Colombo port.;A freight train derailment on a main line temporarily blocked rail access to the capital, delaying the scheduled shipment of bulk finished polyester apparel bound for international distribution.
11;2024.07.31;Japan;Economic Development;Japan lifts quota limits on South Korean Silk imports, boosting trade volume.;In a bid to foster regional cooperation, Japan removed long-standing quantitative restrictions on high-quality raw silk imports from South Korea, potentially reducing costs for Japanese luxury weavers.
12;2024.08.03;Thailand;Civil Unrest;Labor disputes cause partial strike at major Cotton spinning mill.;Workers at a large Thai cotton spinning facility engaged in a partial walkout over contractual disputes, resulting in reduced operational capacity and delays in yarn production for regional apparel manufacturers.
13;2024.08.06;Vietnam;Economic Development;Vietnam issues temporary export ban on raw Button materials due to domestic processing needs.;The government restricted the export of specific raw materials used in button manufacturing, aiming to ensure sufficient supply for the rapidly growing domestic finishing industry.
14;2024.08.09;India;Natural Disaster;Severe heatwave causes power rationing, slowing Nylon production across India.;Record-breaking summer heat led to mandated power consumption cuts in several industrial states, impacting the energy-intensive continuous process of manufacturing nylon synthetic fibers.
15;2024.08.12;Italy;Economic Development;Italy applies new quality controls on Bangladeshi Cotton imports citing inspection failures.;Italian customs announced stringent new quality inspection requirements for cotton goods from Bangladesh, effectively slowing the clearance process and increasing logistics costs for importers.
16;2024.08.15;China;Incidental;Machinery breakdown halts Polyester fiber spinning line for 48 hours.;A critical mechanical failure occurred at a large polyester production facility in coastal China, necessitating a complete shutdown for repairs and causing short-term raw material supply disruption.
17;2024.08.18;Bangladesh;Civil Unrest;Mass demonstrations shut down major transport routes, disrupting Buckle imports and exports.;Widespread political protests created logistical chaos in major urban centers, blocking roads necessary for the delivery of imported metal buckles and the export of finished goods.
